"model","component","std.dev","lower","upper"
"gam_base","s(time_s)",164.540791244741,90.7381678857407,298.371375731734
"gam_base","s(id)",4.23015516426828,3.87163185858633,4.62187867219365
"gam_base","s(time_s,id)",2.57793091353734,2.25743693359122,2.94392622716559
"gam_base","scale",3.712915042134,3.58618171625759,3.84412704119501
